Severity,Type,Code,Source,Description,Count,Asset,Site
High,Event,225:3,Engine,Engine Overcrank,1,SLM00575,Fernando de Noronha
Low,Diagnostic,101:3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,1,SLM00575,Fernando de Noronha
Low,Diagnostic,289:2,Engine,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect",1,SLM00575,Fernando de Noronha
Low,Diagnostic,94:2,Engine,"Fuel Delivery Pressure Sensor:Erratic, Intermittent, or Incorrect",1,SLM00575,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,5,SLM00575,Fernando de Noronha
Low,Event,173:1,Engine,High Exhaust Temperature Warning,5,SLM00575,Fernando de Noronha
Low,Event,17:1,Engine,High Engine Coolant Temperature Warning,1,SLM00575,Fernando de Noronha
Low,Event,272:1,Engine,Inlet Air Restriction Warning,1,SLM00575,Fernando de Noronha
Medium,Diagnostic,168:1,Engine,Electrical System Voltage:Low,1,SLM00575,Fernando de Noronha
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,13,SLM00575,Fernando de Noronha
Medium,Event,21:2,Engine,High Exhaust Temperature Derate,4,SLM00575,Fernando de Noronha
Medium,Event,31:2,Engine,Air Filter Restriction Derate,1,SLM00575,Fernando de Noronha
