Severity,Type,Code,Source,Description,Count,Asset,Site
High,Event,16:3,Engine,High Engine Coolant Temperature Shutdown,3,ABC00546,Hendrix
High,Event,40:3,Engine,Low Engine Oil Pressure Shutdown,3,ABC00546,Hendrix
High,Event,4:3,Engine,Engine Overspeed Shutdown,3,ABC00546,Hendrix
High,Event,8:3,Engine,High Aftercooler Temperature Shutdown,1,ABC00546,Hendrix
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",3,ABC00546,Hendrix
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2,ABC00546,Hendrix
Low,Diagnostic,279:3,Engine,Aftercooler Coolant Temperature Sensor (Front):Voltage Above Normal,1,ABC00546,Hendrix
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",3,ABC00546,Hendrix
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,3,ABC00546,Hendrix
Low,Event,17:1,Engine,High Engine Coolant Temperature Warning,2,ABC00546,Hendrix
Low,Event,190:1,Engine,Engine Overspeed Warning,3,ABC00546,Hendrix
Low,Event,279:1,Engine,High Aftercooler Temperature Warning,1,ABC00546,Hendrix
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,3,ABC00546,Hendrix
Medium,Diagnostic,110:3,Engine,Engine Coolant Temperature Sensor:Voltage Above Normal,2,ABC00546,Hendrix
Medium,Diagnostic,273:3,Engine,Turbocharger Outlet Pressure Sensor:Voltage Above Normal,1,ABC00546,Hendrix
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,5,ABC00546,Hendrix
Medium,Diagnostic,91:8,Engine,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",1,ABC00546,Hendrix
Medium,Event,15:2,Engine,High Engine Coolant Temperature Derate,3,ABC00546,Hendrix
Medium,Event,7:2,Engine,High Aftercooler Temperature Derate,1,ABC00546,Hendrix
