Severity,Type,Code,Source,Description,Count,Asset,Site
High,Event,225:3,Engine,Engine Overcrank,1,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,289:2,Engine,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect",10,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,289:3,Engine,Fuel Pressure Sensor - Before Fuel Filter:Voltage Above Normal,1,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,336:2,Engine,"Engine Control Switch:Erratic, Intermittent, or Incorrect",12,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",2,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,94:2,Engine,"Fuel Delivery Pressure Sensor:Erratic, Intermittent, or Incorrect",10,S2R00247,Parcel do Manoel Luis
Low,Event,173:1,Engine,High Exhaust Temperature Warning,2,S2R00247,Parcel do Manoel Luis
Low,Event,38:1,Engine,Low Engine Coolant Temperature Warning,17,S2R00247,Parcel do Manoel Luis
Low,Event,95:1,Engine,Fuel Filter Restriction Warning,1,S2R00247,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,30,S2R00247,Parcel do Manoel Luis
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,9,S2R00247,Parcel do Manoel Luis
Medium,Event,31:2,Engine,Air Filter Restriction Derate,1,S2R00247,Parcel do Manoel Luis
Medium,Event,9:2,Engine,High Altitude Derate,2,S2R00247,Parcel do Manoel Luis
