Severity,Type,Code,Source,Description,Count,Asset,Site
High,Event,13:3,Engine,High Crankcase Pressure Shutdown,1,ABC00574,Ilhas Maldivas
High,Event,225:3,Engine,Engine Overcrank,2,ABC00574,Ilhas Maldivas
High,Event,4:3,Engine,Engine Overspeed Shutdown,1,ABC00574,Ilhas Maldivas
Low,Diagnostic,101:3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,2,ABC00574,Ilhas Maldivas
Low,Diagnostic,2738:3,Engine,Turbocharger #1 Compressor Inlet Pressure Sensor:Voltage Above Normal,1,ABC00574,Ilhas Maldivas
Low,Diagnostic,2739:3,Engine,Turbocharger #2 Compressor Inlet Pressure Sensor:Voltage Above Normal,1,ABC00574,Ilhas Maldivas
Low,Diagnostic,289:2,Engine,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect",2,ABC00574,Ilhas Maldivas
Low,Diagnostic,827:8,Engine,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",8,ABC00574,Ilhas Maldivas
Low,Diagnostic,828:8,Engine,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",8,ABC00574,Ilhas Maldivas
Low,Diagnostic,94:2,Engine,"Fuel Delivery Pressure Sensor:Erratic, Intermittent, or Incorrect",2,ABC00574,Ilhas Maldivas
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2,ABC00574,Ilhas Maldivas
Low,Event,101:1,Engine,High Crankcase Pressure Warning,5,ABC00574,Ilhas Maldivas
Low,Event,173:1,Engine,High Exhaust Temperature Warning,1,ABC00574,Ilhas Maldivas
Low,Event,190:1,Engine,Engine Overspeed Warning,1,ABC00574,Ilhas Maldivas
Low,Event,2143:1,Engine,Low Engine Coolant Level,17,ABC00574,Ilhas Maldivas
Low,Event,272:1,Engine,Inlet Air Restriction Warning,4,ABC00574,Ilhas Maldivas
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,15,ABC00574,Ilhas Maldivas
Medium,Diagnostic,263:4,Engine,Digital Sensor Power Supply (8V Or 12V):Voltage Below Normal,6,ABC00574,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,16,ABC00574,Ilhas Maldivas
Medium,Diagnostic,91:8,Engine,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",2,ABC00574,Ilhas Maldivas
Medium,Event,21:2,Engine,High Exhaust Temperature Derate,1,ABC00574,Ilhas Maldivas
Medium,Event,31:2,Engine,Air Filter Restriction Derate,1,ABC00574,Ilhas Maldivas
