RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABB00240,SS Moretti
100-200,0.0,0.0,ABB00240,SS Moretti
200-300,0.0,0.0,ABB00240,SS Moretti
300-400,0.0,0.0,ABB00240,SS Moretti
400-500,0.0,0.0,ABB00240,SS Moretti
500-600,0.21,9.175528007083203,ABB00240,SS Moretti
600-700,1.92,83.89054177904643,ABB00240,SS Moretti
700-800,0.0,0.0,ABB00240,SS Moretti
800-900,0.03,1.3107897152976005,ABB00240,SS Moretti
900-1000,0.0,0.0,ABB00240,SS Moretti
1000-1100,0.03,1.3107897152976005,ABB00240,SS Moretti
1100-1200,0.03,1.3107897152976005,ABB00240,SS Moretti
1200-1300,0.0,0.0,ABB00240,SS Moretti
1300-1400,0.0,0.0,ABB00240,SS Moretti
1400-1500,0.03,1.3107897152976005,ABB00240,SS Moretti
1500-1600,0.03,1.3107897152976005,ABB00240,SS Moretti
1600-1700,0.03,1.3107897152976005,ABB00240,SS Moretti
1700-1800,10.57,461.8349096898546,ABB00240,SS Moretti
1800-1900,87.09,3805.2225435089345,ABB00240,SS Moretti
