RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABB00232,Florianopolis
100-200,0.0,0.0,ABB00232,Florianopolis
200-300,0.0,0.0,ABB00232,Florianopolis
300-400,0.0,0.0,ABB00232,Florianopolis
400-500,0.02,11.196552957235198,ABB00232,Florianopolis
500-600,0.18,100.76897661511678,ABB00232,Florianopolis
600-700,7.049999999999999,3946.7849174254075,ABB00232,Florianopolis
700-800,2.0500000000000003,1147.6466781166082,ABB00232,Florianopolis
800-900,13.81,7731.219816970905,ABB00232,Florianopolis
900-1000,18.740000000000002,10491.170120929384,ABB00232,Florianopolis
1000-1100,12.139999999999999,6796.307645041766,ABB00232,Florianopolis
1100-1200,5.26,2944.693427752857,ABB00232,Florianopolis
1200-1300,3.55,1987.3881499092479,ABB00232,Florianopolis
1300-1400,0.43,240.72588858055678,ABB00232,Florianopolis
1400-1500,0.06,33.589658871705595,ABB00232,Florianopolis
1500-1600,0.0,0.0,ABB00232,Florianopolis
1600-1700,0.04,22.393105914470397,ABB00232,Florianopolis
1700-1800,23.13,12948.813495042508,ABB00232,Florianopolis
1800-1900,13.54,7580.06635204823,ABB00232,Florianopolis
