RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABB00239,SS Moretti
100-200,0.0,0.0,ABB00239,SS Moretti
200-300,0.0,0.0,ABB00239,SS Moretti
300-400,0.0,0.0,ABB00239,SS Moretti
400-500,0.0,0.0,ABB00239,SS Moretti
500-600,0.18,5.001380001100798,ABB00239,SS Moretti
600-700,10.059999999999999,279.52157117263346,ABB00239,SS Moretti
700-800,0.04,1.1114177780223995,ABB00239,SS Moretti
800-900,0.02,0.5557088890111997,ABB00239,SS Moretti
900-1000,0.02,0.5557088890111997,ABB00239,SS Moretti
1000-1100,0.06,1.6671266670335994,ABB00239,SS Moretti
1100-1200,0.06999999999999999,1.9449811115391988,ABB00239,SS Moretti
1200-1300,0.02,0.5557088890111997,ABB00239,SS Moretti
1300-1400,0.0,0.0,ABB00239,SS Moretti
1400-1500,0.02,0.5557088890111997,ABB00239,SS Moretti
1500-1600,0.0,0.0,ABB00239,SS Moretti
1600-1700,0.02,0.5557088890111997,ABB00239,SS Moretti
1700-1800,8.04,223.3949733825023,ABB00239,SS Moretti
1800-1900,81.46,2263.4023049426164,ABB00239,SS Moretti
