RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABB00230,Marica
100-200,0.0,0.0,ABB00230,Marica
200-300,0.0,0.0,ABB00230,Marica
300-400,0.0,0.0,ABB00230,Marica
400-500,0.0,0.0,ABB00230,Marica
500-600,0.15,5.887584710064005,ABB00230,Marica
600-700,1.82,71.43602781544328,ABB00230,Marica
700-800,0.09,3.532550826038403,ABB00230,Marica
800-900,0.03,1.177516942012801,ABB00230,Marica
900-1000,0.06,2.355033884025602,ABB00230,Marica
1000-1100,0.0,0.0,ABB00230,Marica
1100-1200,0.03,1.177516942012801,ABB00230,Marica
1200-1300,0.0,0.0,ABB00230,Marica
1300-1400,0.0,0.0,ABB00230,Marica
1400-1500,0.03,1.177516942012801,ABB00230,Marica
1500-1600,0.03,1.177516942012801,ABB00230,Marica
1600-1700,0.0,0.0,ABB00230,Marica
1700-1800,67.45,2647.4505912921145,ABB00230,Marica
1800-1900,30.320000000000004,1190.0771227276045,ABB00230,Marica
