RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABB00235,Florianopolis
100-200,0.0,0.0,ABB00235,Florianopolis
200-300,0.0,0.0,ABB00235,Florianopolis
300-400,0.0,0.0,ABB00235,Florianopolis
400-500,0.0,0.0,ABB00235,Florianopolis
500-600,0.06,3.2670799469952003,ABB00235,Florianopolis
600-700,7.62,414.9191532683905,ABB00235,Florianopolis
700-800,3.2199999999999998,175.33329048874242,ABB00235,Florianopolis
800-900,15.329999999999998,834.7389264572736,ABB00235,Florianopolis
900-1000,18.44,1004.0825703765252,ABB00235,Florianopolis
1000-1100,9.53,518.9211982477376,ABB00235,Florianopolis
1100-1200,2.6599999999999997,144.84054431678723,ABB00235,Florianopolis
1200-1300,2.58,140.48443772079364,ABB00235,Florianopolis
1300-1400,1.67,90.9337251913664,ABB00235,Florianopolis
1400-1500,0.06,3.2670799469952003,ABB00235,Florianopolis
1500-1600,0.02,1.0890266489984002,ABB00235,Florianopolis
1600-1700,0.02,1.0890266489984002,ABB00235,Florianopolis
1700-1800,29.84,1624.827760305613,ABB00235,Florianopolis
1800-1900,8.95,487.3394254267841,ABB00235,Florianopolis
